Date,Season,HomeTeam,AwayTeam,Result,home_form_points,home_form_gf,home_form_ga,home_form_gd,away_form_points,away_form_gf,away_form_ga,away_form_gd,form_points_diff,form_gd_diff,home_trend,away_trend,trend_diff,home_home_ppg,home_home_gf,home_home_ga,away_away_ppg,away_away_gf,away_away_ga,home_advantage,home_days_rest,away_days_rest,rest_diff,home_season_points,home_season_gd,home_season_position,away_season_points,away_season_gd,away_season_position,position_diff,points_diff_season,h2h_home_wins,h2h_draws,h2h_away_wins,season_phase,home_goal_variance,away_goal_variance,home_streak,away_streak,streak_diff,home_home_streak,away_away_streak
2024-09-15,2425,Augsburg,St Pauli,H,2,5,14,-9,0,0,6,-6,2,-3,0.0,0.0,0.0,1.0,1.2,1.6,0.0,0.0,1.0,1.0,14,16,-2,2,-8,15,0,-6,16,1,2,0,0,0,1,1.2026239067055393,0.0,-2,-4,2,0,-2
2024-09-20,2425,Augsburg,Mainz,A,7,8,12,-4,3,9,11,-2,4,-2,1.33,-0.67,2.0,1.6,2.0,1.4,1.4,2.2,1.8,0.20000000000000018,5,5,0,8,-4,11,4,-2,15,4,4,2,0,3,1,1.2133031750020942,1.4222082600318335,0,-2,2,2,0
2024-09-20,2425,Augsburg,Mainz,A,7,8,12,-4,3,9,11,-2,4,-2,1.33,-0.67,2.0,1.6,2.0,1.4,1.4,2.2,1.8,0.20000000000000018,5,5,0,8,-4,11,4,-2,15,4,4,2,0,3,1,1.2133031750020942,1.4222082600318335,0,-2,2,2,0
2024-09-21,2425,Bochum,Holstein Kiel,D,0,2,9,-7,0,4,19,-15,0,8,0.0,0.0,0.0,0.8,0.8,2.4,0.0,2.0,3.0,0.8,7,7,0,0,-8,16,0,-16,18,2,0,0,0,0,1,1.2540671512634127,0.8,-7,-6,-1,-2,-2
2024-09-21,2425,Union Berlin,Hoffenheim,H,9,3,1,2,3,7,16,-9,6,11,0.0,-2.0,2.0,1.8,1.6,2.0,0.6,2.2,2.6,1.2000000000000002,7,7,0,10,2,9,6,-8,15,6,4,3,0,2,1,1.3087987012987015,1.6563374382173075,0,0,0,1,-3
2024-09-21,2425,Union Berlin,Hoffenheim,H,9,3,1,2,3,7,16,-9,6,11,0.0,-2.0,2.0,1.8,1.6,2.0,0.6,2.2,2.6,1.2000000000000002,7,7,0,10,2,9,6,-8,15,6,4,3,0,2,1,1.3087987012987015,1.6563374382173075,0,0,0,1,-3
2024-09-21,2425,Bochum,Holstein Kiel,D,0,2,9,-7,0,4,19,-15,0,8,0.0,0.0,0.0,0.8,0.8,2.4,0.0,2.0,3.0,0.8,7,7,0,0,-8,16,0,-16,18,2,0,0,0,0,1,1.2540671512634127,0.8,-7,-6,-1,-2,-2
2024-09-21,2425,Ein Frankfurt,M'gladbach,H,12,10,6,4,6,8,9,-1,6,5,2.0,0.0,2.0,2.0,2.4,2.0,1.4,1.8,2.0,0.6000000000000001,7,7,0,12,2,7,6,-2,14,7,6,2,3,0,1,1.6245036441316916,1.6848538158666329,2,-3,5,2,1
2024-09-21,2425,Werder Bremen,Bayern Munich,A,9,6,4,2,15,19,4,15,-6,-13,1.33,0.0,1.33,1.8,1.6,0.8,2.4,4.0,2.0,-0.5999999999999999,6,7,-1,10,2,8,18,16,1,-7,-8,1,0,4,1,1.3365384615384617,3.0351763424646063,2,8,-6,0,3
2024-09-21,2425,Heidenheim,Freiburg,A,9,14,8,6,9,7,7,0,0,6,-2.0,0.0,-2.0,2.0,2.8,0.8,0.8,0.4,1.2,1.2,8,7,1,12,8,4,12,2,6,2,0,1,1,0,1,1.3102564102564103,1.3267375711105616,3,1,2,3,-3
2024-09-21,2425,Werder Bremen,Bayern Munich,A,9,6,4,2,15,19,4,15,-6,-13,1.33,0.0,1.33,1.8,1.6,0.8,2.4,4.0,2.0,-0.5999999999999999,6,7,-1,10,2,8,18,16,1,-7,-8,1,0,4,1,1.3365384615384617,3.0351763424646063,2,8,-6,0,3
2024-09-21,2425,Heidenheim,Freiburg,A,9,14,8,6,9,7,7,0,0,6,-2.0,0.0,-2.0,2.0,2.8,0.8,0.8,0.4,1.2,1.2,8,7,1,12,8,4,12,2,6,2,0,1,1,0,1,1.3102564102564103,1.3267375711105616,3,1,2,3,-3
2024-09-21,2425,Ein Frankfurt,M'gladbach,H,12,10,6,4,6,8,9,-1,6,5,2.0,0.0,2.0,2.0,2.4,2.0,1.4,1.8,2.0,0.6000000000000001,7,7,0,12,2,7,6,-2,14,7,6,2,3,0,1,1.6245036441316916,1.6848538158666329,2,-3,5,2,1
